,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,key,mode,time signature,genre
50xNbQVtCz0GY10WBlc45l,0.859,0.717,-7.401,0.183,0.0128,0.0,0.342,0.617,136.015,11,1,4,pop
4X7GoNe4XnEsauVMRDHn5g,0.626,0.444,-13.642,0.466,0.0657,0.0,0.145,0.306,110.588,0,1,5,pop
5V2p1V1ZaCJPjpcN2Nf5h2,0.765,0.719,-4.982,0.299,0.0132,0.0,0.116,0.782,84.997,9,1,4,pop
5st5644IlBmKiiRE73UsoZ,0.775,0.904,-4.08,0.0437,0.0271,0.000303,0.06,0.84,130.009,1,0,4,pop
56GyrFAvqljHRrmbMIdX6C,0.741,0.531,-9.701,0.373,0.0947,0.0,0.0645,0.687,89.162,8,1,4,pop
12lZTPlXwUtrQuhEty6098,0.7,0.695,-4.973,0.0897,0.00629,0.0,0.0319,0.633,122.028,7,1,4,pop
0hPuF2Z5fZjnuwYPvIdPC1,0.703,0.733,-3.598,0.0852,0.111,0.0,0.119,0.82,121.008,7,1,4,pop
5FneLoNGEqmb6MJMCrdkyD,0.581,0.761,-4.581,0.0441,0.0483,0.0,0.313,0.453,79.926,10,0,4,pop
4esOae7i4rqTbAu9o5Pxco,0.482,0.706,-5.762,0.0607,0.135,0.00106,0.105,0.144,92.513,9,1,4,pop
1k18nxjYj8R5iz82Ap7GEY,0.614,0.879,-4.422,0.056,0.00104,0.00438,0.41,0.407,131.092,0,1,4,pop
63bvPAC6gtC70F0bZf3ojU,0.604,0.819,-6.24,0.0395,0.0588,6.91e-06,0.34,0.689,153.994,4,1,4,pop
62bOmKYxYg7dhrC6gH9vFn,0.61,0.926,-4.843,0.0479,0.031,0.0012,0.0821,0.861,172.638,8,0,4,pop
3eR23VReFzcdmS7TYCrhCe,0.64,0.533,-6.596,0.0706,0.119,0.0,0.0864,0.515,99.968,0,1,4,electronic
1i1fxkWeaMmKEB4T7zqbzK,0.532,0.869,-5.094,0.172,0.157,0.00508,0.136,0.422,159.803,11,1,4,pop
69kOkLUCkxIZYexIgSG8rq,0.81,0.793,-9.404,0.0403,0.0378,1.77e-06,0.072,0.863,116.05,6,0,4,electronic
5DZfOyOG4wrUrDY2APAy9R,0.861,0.533,-8.91,0.0961,0.21,0.0,0.192,0.354,115.973,2,1,4,pop
5kqIPrATaCc2LqxVWzQGbk,0.765,0.473,-5.829,0.0514,0.287,0.0,0.391,0.34,119.992,10,1,4,pop
1SvDL53YhSWpnkeOUDsjNN,0.586,0.856,-4.586,0.0334,0.00362,0.0497,0.122,0.157,122.976,8,0,4,pop
5zTzDqrEmseqL2G8ElgBu7,0.571,0.932,-3.68,0.0576,0.00448,0.00939,0.117,0.864,150.014,6,0,4,pop
2GgxS8bUT5G25QJTsfSv0R,0.559,0.777,-5.031,0.0432,0.31,0.0,0.105,0.329,87.016,1,1,4,pop
0VBKXFjICnJZU8ZDAY67Kx,0.402,0.564,-8.22,0.115,0.266,0.0,0.31,0.406,78.457,4,1,1,pop
3528IXKpbb7OMjdjWYlbfD,0.471,0.924,-3.906,0.0586,0.00301,0.0,0.313,0.725,154.961,8,1,4,pop
2VhPOtIQw2UpQmRVevdviU,0.707,0.752,-4.401,0.0885,0.269,0.0,0.377,0.724,150.061,0,0,4,pop
1jYcyeOFMtnNCAVZ0t5dzd,0.477,0.654,-8.788,0.176,9.45e-05,0.000359,0.382,0.34,118.798,10,0,4,pop
2k0OtF8OWH9vYDp5z8K5go,0.542,0.713,-4.059,0.0812,0.00301,0.0,0.551,0.513,127.894,0,1,4,pop
2U8NXPTXZWG2O0ye2sYRiH,0.711,0.906,-2.671,0.0284,0.00952,1.64e-05,0.153,0.824,125.916,8,1,4,pop
2Zj4FUsMtu9PMuJsHbGbdv,0.669,0.78,-4.287,0.053,0.0265,1.63e-06,0.143,0.738,139.945,7,0,4,pop
6F5c58TMEs1byxUstkzVeM,0.554,0.772,-4.821,0.0418,0.00487,6.6e-06,0.354,0.455,179.984,7,0,4,pop
4rHZZAmHpZrA3iH5zx8frV,0.574,0.512,-6.664,0.0503,0.234,0.0,0.0946,0.512,76.899,5,0,4,dance
2Xy1KLdro4Y8xsLAQqWbgA,0.756,0.475,-8.753,0.0796,0.193,0.0,0.143,0.167,106.052,7,0,4,pop
4kkeuVl6gF3RMqE4Nn5W3E,0.602,0.863,-5.423,0.0773,0.0178,0.0,0.389,0.732,150.183,5,0,4,pop
2y4lAQpi5VTNLu2ldeTdUH,0.613,0.622,-5.794,0.0334,0.00882,0.0,0.37,0.484,80.003,1,0,4,pop
5YIHofgI1cpVXufV1SCChl,0.795,0.79,-4.674,0.0409,0.342,0.000865,0.0841,0.461,115.061,11,1,4,pop
22VdIZQfgXJea34mQxlt81,0.705,0.769,-5.526,0.0425,0.113,0.0,0.105,0.583,107.949,9,0,4,pop
